User Query,Bot Response,Class
what should i do in case i am unable to access my company's current account,"if you are unable to access your company current account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in the name of the company as well as each of the authorized signatory(ies). the authorised signatory(ies) is distinct and has to be used to access netbanking for the company account. for more details, contact us",accounts
what transactions are included as a part of the free inter-city clearing limit,the following transactions comprise part of the free inter-city clearing limit: cheques deposited into your account in other cities (in local clearing/within bank) inter-city payable-at-par cheque issuances view more,accounts
how is m&n  bank premium ca different from a regular ca offered by most banks,an m&n  bank premium current account offers you a host of features that sets it apart from any regular current accounts that most banks offer.these features are: free intercity clearing between m&n  bank branch locations up to 100 free payable-at-par cheque leaves per month view more,accounts
must i open premium current account in each location where i have my company office,"no. as a premium current account holder you have the advantage of a single account, multi-location banking facility.",accounts
can i access my premium current account from any m&n  bank branch,"yes, you can. our advanced technology provides you with the flexibility of accessing your account from any of our branches.",accounts
with premium current account can i make payments to my suppliers at m&n  bank branches through single cheque book,"yes. when you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts
can i access my account by telephone to conduct routine daily transactions,yes you can. you can use phonebanking to perform the following operations: access your account details request account statements make fixed deposit related queries inquire about interest and fx rates request a cash delivery or pick-up order a new cheque book view more,accounts
what are included in bulk transactions,"bulk transactions include: local clearing transactions anywhere clearing transactions local fund transfer transactions anywhere fund transfer transactions, view more",accounts
what are the documents required for opening a current account of a partnership firm,following documents are required for opening a current account of a partnership firm: latest partnership deed documents establishing proof of existence - certificate of registration under any statute/act or professional bodies - registration certificate issued by registrar of firms - valid business license or certificate of registration issued by state/central government authority (validity would include the grace period for renewal as mentioned in the certificate) - pan card in the name of the firm; - self-signed cheque issued from the firmâ€™s account from a psu/private sector/foreign bank along with a bank statement not older than four months documents for establishing proof of address - landline telephone bill/electricity bill of public and approved private operators in the state. (bills not to be older than 4 months from the date of account opening) - property ownership deed i.e. title deeds of the property in the name of the firm duly stamped and registered - latest property tax or water tax paid receipt/bill raised in the name of the firm - tan allotment letter in the name of the firm - existing bank account statement or passbook of a psu/private sector/foreign bank - statement not older than 4 months from the date of account opening to be accepted documents for establishing photo identity of authorised partners/signatories view more,accounts
how do i become eligible for an m&n  bank regular current account,"if the average quarterly balance (aqb) in your current account is over rs.10,000 you are eligible to enjoy the benefits of a regular current account.",accounts
must i open regular current account in each location where i have my company office,"no. as a regular current account holder you have the advantage of single account, multi-location banking.",accounts
what is the initial deposit amount required to open the flexi account,"the initial deposit amount to open a flexi current account is rs.75,000.",accounts
what should i do in case i am unable to access my company's current account using netbanking,"if you are unable to access your company account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in name of the company as well as each of the authorized signatory(ies). the latter is distinct and has to be used to access netbanking for the company's account. however, we regret our inability to disclose the appropriate customer id on an unsecure e-mail and request you to contact our nearest branch or phonebanking center for this. for more details, contact us view more",accounts
how is a flexi current account different from a regular current account,"the flexi account includes the following privileges: flexibility of higher cash deposits (home location) and transactions anywhere (payments, collections and funds transfers), limits during peak seasons, since these are based on the average monthly balance (amb) maintained in the account. calculation of free transaction limits based on balances maintained in the transaction month, leading to a high level of customization in tune with current business requirements. for example, if your season starts in november, you get a transaction limit based on the balance maintained by you in november, and not in october or september. low minimum balance requirement of rs. 75,000 per month. competitive pricing on and faster collection of outstation cheques. up to 40 free pay orders and 40 free demand drafts per month. free rtgs and neft transactions. these privileges make a flexi current account different from a regular current account. view more",accounts
what transactions are included as a part of the free anywhere transactions limit for a month,the following transactions together comprise part of the free anywhere transaction limit: cheques deposited into the account in other cities (in local clearing / within bank) inter-city payable-at-par cheques issued. inter-city account to account funds transfers (cheque payments & collections) within m&n  bank accounts. view more,accounts
"how much cash can i deposit per month in my home branch, without being charged","the free cash deposit limit at your home branch depends on the amb you have maintained during the transaction month. this free limit is calculated as 10 times the actual amb maintained during the transaction month or 50 transactions per month, whichever is less. in case you make more than 50 transactions or your cash deposits are more than 10 times your amb at your home branch, you will have to pay a charge of rs. 3 per rs. 1,000, subject to a minimum of rs. 50 (excluding taxes). if i maintaini get monthly free if i utilizei am charged average monthly balance (amb) in rs. home location cash deposit in rs. (subject to maximum of 50 transactions) actual home location cash deposit in rs. rs. (excluding 12.36% service tax & education cess) 50,000 5,00,000 7,50,000 1,750 (750 + 1000**) 75,000 7,50,000 11,00,000 1,050 1,00,000 10,00,000 9,50,000 nil 2,21,103* 22,11,000* 20,00,000 nil 3,00,000 30,00,000 37,00,000 2,100 5,00,000 50,00,000 45,00,000 nil 10,00,000 1,00,00,000 60,00,000 nil *the home location cash deposit free limit is rounded off to the nearest thousand ** amb non-maintenance charges view more",accounts
can i access my account from any m&n  bank branch,yes. all m&n  bank branches and systems are interconnected by state-of-the-art technology and allow access at all times.,accounts
what is the minimum balance that i need to maintain in a flexi current account,"you have to maintain an average monthly balance (amb) of rs. 75,000 in a flexi current account. if you are unable to maintain the amb you will be have to pay a charge of rs. 1,000 for the month in which the amb has not been maintained.",accounts
what is the minimum balance required for an apex current account,"you need to maintain an average quarterly balance (aqb) of rs. 10,00,000 in your apex current account.",accounts
is it necessary to open apex current account in each location where my company has an office,"no. with a apex current account, you enjoy the advantage of a single account with multi-location banking.",accounts
can i make payments to my suppliers at m&n  bank branches through a single cheque book,"yes. when you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts
what should i do in case i am unable to access my company's current account through net banking,"if you are unable to access your company account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in name of the company as well as each of the authorized signatory(ies). the latter is distinct and has to be used to access netbanking for the company's account. however, we regret our inability to disclose the appropriate customer id on an unsecure e-mail and request you to contact our nearest branch or phonebanking center for this. for more details, contact us",accounts
how is an apex current account different from a regular current account,an apex current account includes the following privileges: higher free limit of rs. 120 lakhs per month for cash deposits at your home branch unlimited free clearing transactions anywhere for payments and collections free and faster collection of outstation cheques at m&n  bank locations free demand drafts and pay orders free rtgs and neft transactions free billpay and instaalerts free business debit card these features make an apex current account different from a regular current account. view more,accounts
what transactions are included as a part of the free anywhere transactions limit for a month,the following transactions comprise part of the free anywhere transaction limit: cheque deposited into the account in other cities (in local clearing) inter-city payable-at-par cheque issuance. view more,accounts
what transactions are included as a part of the free anywhere transactions limit for a month,the following transactions comprise part of the free anywhere transaction limit: cheque deposited into the account in other cities (in local clearing) inter-city payable-at-par cheques issued view more,accounts
is it necessary to open max current account in each location where my company has an office,no. with your max current account you enjoy the advantage of single account with multi-location banking.,accounts
what is the initial deposit amount required to open a max current account,"you need an initial deposit of rs. 5,00,000 to open a max current account.",accounts
what is the minimum balance that i need to maintain in a max current account,"you need to maintain an average quarterly balance of rs. 5,00,000 in your max current account.",accounts
how is m&n  bank's max current account different from a regular current account,your max current account includes the following privileges: combined free limit of 60 lacs per month at home and non- home locations. free and faster collection of outstation cheques at m&n  bank locations free demand drafts and pay orders free rtgs and neft transactions free billpay & instaalerts free business debit card this makes a max current account different from a regular current account. view more,accounts
must i open an account in each location where i have my company office,"no. as a premium current account holder you have the advantage of a single account, multi-location banking facility.",accounts
what is the minimum average monthly balance required if i have a merchant advantage current account,"you have to maintain a minimum average monthly balance (amb) of rs. 25,000.",accounts
must i open an merchant advantage current account in each location where i have my company office,no. a merchant advantage current account gives you the advantage of a single account with multi-location banking.,accounts
can i access my merchant advantage plus current account from any m&n  bank branch,yes. the advanced technology of our systems provides you with the flexibility of accessing your account from any m&n  bank branch.,accounts
with merchant plus current account can i make payments to my suppliers at m&n  bank branches through single cheque book,"yes. when you open an account, you will be issued an at-par cheque book, which is payable at m&n  bank branches.",accounts
how is a merchant advantage plus current account different from a regular current account offered by most banks,a merchant advantage plus current account offers you the following privileges: free limit for cash deposits up to four times the amount swiped at the m&n  bank edc machine linked to your merchant advantage plus current account free and faster collection of outstation cheques at m&n  bank locations free rtgs and neft transactions free billpay and instaalerts free regular and business debit cards these privileges make a merchant advantage plus current account different from a regular current account. view more,accounts
how is a merchant advantage plus current account different from a regular current account offered by most banks,a merchant advantage plus current account offers you the following privileges: free limit for cash deposits up to four times the amount swiped at the m&n  bank edc machine linked to your merchant advantage plus current account free inter-city clearing between m&n  bank branch locations (except dahej) up to rs.50 lakhs per month free and faster collection of outstation cheques at m&n  bank locations free rtgs and neft transactions free billpay and instaalerts free regular and business debit cards these privileges make a merchant advantage plus current account different from a regular current account. view more,accounts
what is the minimum average monthly balance i have to maintain with a merchant advantage plus current account,"you have to maintain a minimum average monthly balance (amb) of rs. 1,00,000 with your merchant advantage plus current account.",accounts
is it necessary to open ultima current account in each location where my company has an office,"no. with an ultima current account, you enjoy the advantage of a single account with multi-location banking.",accounts
can i access my account by telephone to conduct routine daily transactions,yes you can. you can use phonebanking to perform the following operations: - access your account details - request account statements - make fixed deposit related queries - inquire about interest and fx rates - request a cash delivery or pick-up - order a new cheque book,accounts
how is an ultima current account different from a regular current account,an ultima current account includes the following privileges: - higher free limit of rs. 2cr per month for cash deposits at your home branch - unlimited free clearing transactions anywhere for payments and collections - free and faster collection of outstation cheque at m&n  bank locations - free demand drafts and pay orders - free rtgs and neft transactions - free billpay and instaalerts - free business debit card,accounts
what is the minimum balance required for an ultima current account,"you need to maintain an average quarterly balance (aqb) of rs. 20,00,000 in your ultima current account.",accounts
what transactions are included as a part of the free anywhere transactions limit for a month,the following transactions comprise part of the free anywhere transaction limit: - cheque deposited into the account in other cities (in local clearing) - inter-city payable-at-par cheque issuance,accounts
what should i do in case i am unable to access my company's current account through net banking,"if you are unable to access your company account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in name of the company as well as each of the authorised signatory(ies). the latter is distinct and has to be used to access netbanking for the company's account. however, we regret our inability to disclose the appropriate customer id on an unsecure e-mail and request you to contact our nearest branch or phonebanking center for this.for more details, contact us",accounts
what are the minimum docs required to open a institutional current account,non-individual (current account) aod to be completed registration proof with any state regulatory authority orcertificate of registration with the local charities commissioner (for charitable trusts) certified copy of the trust deed / bye-laws /moa /constitution proof of address of the institute certified copy of the resolution from board of trustees defining who is going to be the authorized signatories in the account / authorizing the opening & conduct of the account proof of appointment of present trustees/governing body members in case they are not listed in the trust deed/bye-laws pan card/form 60/no pan declaration as may be applicable fcra declaration beneficial ownership declaration (only for trusts & association of persons) photograph & proof of identity of all authorized signatories,accounts
how is an institutional current account  different from a regular current account,an institutional current account includes the following privileges: free limit of rs. 50 lakhs per month for cash deposits at your home branch free and faster collection of outstation cheques at m&n  bank locations free demand drafts and pay orders free rtgs and neft collections and upto 25 transactions free for neft/rtgs payments. free billpay and instaalerts free business debit card these features make an institutional current account different from a regular current account.,accounts
what should i do in case i am unable to access my institutional current account through net banking,"if you are unable to access you institutional account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of institutes, separate customer ids are created in the name of the institute, as well as each authorised signatory(ies). the latter is distinct and has to be used to access netbanking for the institutes account. however, since we do not disclose the institutes customer id on an unsecure e-mail, the institute will have to contact their nearest branch or phonebanking center for this. for more details, contact us",accounts
must i open institutional current account in each location where i have my company office,"no. as a institutional current account holder you have the advantage of single account, multi-location banking.",accounts
what is the minimum balance required for an institutional current account,no minimum balance requirement.,accounts
how do i become eligible for an m&n  bank institutional current account,to become eligible for an m&n  bank institutional current account you belong to one of the eligibility criteria mentioned above.,accounts
can i access my account by telephone to conduct routine daily transactions,yes you can. you can use phonebanking to perform the following operations: access your account details request account statements make fixed deposit related queries inquire about interest and fx rates request a cash delivery or pick-up order a new cheque book,accounts
is it necessary to open institutional current account in each location where my company has an office,"no. with a institutional current account , you enjoy the advantage of a single account with multi-location banking.",accounts
what transactions are included as a part of the free anywhere transactions limit for a month,the following transactions comprise part of the free anywhere transaction limit: cheque deposited into the account in other cities (in local clearing) inter-city payable-at-par cheque issuance.,accounts
what are the permissible debits from an rfc domestic account,"the funds in a resident foreign currency domestic account opened or held or maintained shall be free from all restrictions regarding utilization of foreign currency balances, including any restriction on investment in any form, by whatever name called, outside india.",accounts
who can open an rfc domestic account,"any person who is a resident indian can open an rfc domestic account, as long as the foreign exchange earned is in line with the permissible credits as defined in the rbi circular.",accounts
what are the permissible credits from an rfc domestic account,"as per the rbi directive, the following can be credited into an rfc domestic account: a) received as pension or any other superannuation or other monetary benefits from his employer outside india; or b) realised on conversion of the assets referred to in sub-section (4) of section 6 of the act, and repatriated to india; or c) received or acquired, as gift or inheritance, from a person referred to in sub-section (4) of section 6 of the act; or d) referred to in clause (c) of section 9 of the act, or acquired as gift or inheritance therefrom. view more",accounts
in what currencies can i open an rfc domestic account,"an rfc domestic account can be opened in three different currencies, i.e. usd / euro / gbp.",accounts
whether the eefc balances can be covered against exchange risk,"yes, the eefc account balances can be hedged.",accounts
is there any restriction on withdrawal in rupees of funds held in an eefc account,"no, there is no restriction on withdrawal in rupees of funds held in an eefc account. however, the amount withdrawn in rupees shall not be eligible for conversion into foreign currency and for re-credit to the account.",accounts
how much of foreign exchange earnings can be credited into an eefc account,"100% foreign exchange earnings can be credited to the eefc account subject to the condition that the sum total of the accruals in the account during a calendar month should be converted into rupees on or before the last day of the succeeding calendar month after adjusting for utilisation of the balances for approved purposes or forward commitments. refer to the rbi circular on below link. note: in accordance with reserve bank of india's circular no. a. p. (dir series) circular no. 12 dated 31st of july 2012, the balances outstanding in all eefc / diamond dollar account (dda) and rfc (d) accounts as on last day of a current month, shall be converted into rupees by the bank on the last working day of the succeeding month, if such balance is not utilised by the account holder before the last day of succeeding month. such mandatory conversion by the bank on the last working day of the succeeding month will be done at the prevailing tt buying card rate. in case, customer has booked forward contract/s for conversion of balances in these accounts at a future date which is falling beyond the last day of the succeeding month, such contracted amount shall be deducted from the eligible amount for the mandatory conversion. in case customer has any payment to be made in future from these accounts beyond the last day of the succeeding month then bank should be duly informed before 25th of the succeeding month in writing through relationship manager / branch manager for holding back the conversion to that extent. the customer needs to submit the underlying documents of such future transaction/s. this will be an on-going procedure till we receive revised instructions from reserve bank of india. view more",accounts
what are the permissible credits into eefc account,"inward remittance through normal banking channels, other than remittances received on account of foreign currency loan or investment received from abroad or received for meeting specific obligations by the account holder; payments received in foreign exchange by a 100 per cent export oriented unit or a unit in (a) export processing zone or (b) software technology park or (c) electronic hardware technology park for supply of goods to similar such units or to a unit in domestic tariff area; payments received in foreign exchange by a unit in the domestic tariff area for supply of goods to a unit in the special economic zone (sez); payment received by an exporter from an account maintained with an authorised dealer for the purpose of counter trade. (counter trade is an arrangement involving adjustment of value of goods imported into india against value of goods exported from india in terms of the reserve bank guidelines); advance remittance received by an exporter towards export of goods or services; professional earnings including directors fees, consultancy fees, lecture fees, honorarium and similar other earnings received by a professional by rendering services in his individual capacity; re-credit of unutilised foreign currency earlier withdrawn from the account; amount representing repayment by the account holder's importer customer, of loan/advances granted, to the exporter holding such account; and the disinvestment proceeds received by the resident account holder on conversion of shares held by him to adrs/gdrs under the sponsored adr/gdr scheme approved by the foreign investment promotion board of the government of india. view more",accounts
what are the permissible debits into this account,"payment outside india towards a permissible current account transaction [in accordance to the provisions of the foreign exchange management (current account transactions) rules, 2000] and permissible capital account transaction [in accordance to the foreign exchange management (permissible capital account transactions) regulations, 2000]. payment in foreign exchange towards cost of goods purchased from a 100 percent export oriented unit or a unit in (a) export processing zone or (b) software technology park or (c) electronic hardware technology park. payment of customs duty in accordance with the provisions of the foreign trade policy of the central government for the time being in force. trade related loans/advances, extended by an exporter holding such account to his importer customer outside india, subject to compliance with the foreign exchange management (borrowing and lending in foreign exchange) regulations, 2000. payment in foreign exchange to a person resident in india for supply of goods/services including payments for airfare and hotel expenditure. view more",accounts
what are benefits of smartup solutions,"a suitable choice of current account for your business and transaction needs - alliances for your start-up - advisory services - co-working spaces - logistics - public relations - digital marketing services - content writing smart-buy -accelerate your business with the right marketing channel at the right time. get access to 37 million potential customers to accelerate your growth. smart-up portal - meet other start-ups, customers, mentors, investors all by simply registering for the smart-up program digital & cash management solutions forex advisory",accounts
what is the offer for salary account under smartup programme,"no minimum requirement of number of salary accounts and average salary to be more than rs. 25,000 - zero balance salary account ,free payable at par cheque book -platinum debit card with higher limits for cash withdrawal at atms and usage at shopping outlets - corporate microsite (whenever applicable) â€“ a customised webpage highlighting our offers for companyâ€™s employees at no cost. - online investment and loan facility. - cashback of re.1* for every rs.100 spent at merchant outlets.",accounts
"if i have a query, do i need to visit the branch",simply message â€˜smartupâ€™ to 5676712 or send us a mail at [email protected] and our relationship manager will promptly get back to you & answer all your queries.,accounts
what are the key features of cms and ecms of m&n  bank,a. cms â€“ - end-to-end solution to your payment and collection requirements through our cash management services at extremely attractive rates - consistently voted â€œbest bank in cash management servicesâ€ - cash management services are offered at over 2400 locations b. ecms - - tailor made product offering for electronic collections - ease of reconciliation for your business - stp credit with real time notification - credit confirmation to the remitter - integrated mis offering â€“ secure data transmission,accounts
what are collection solutions available,a. cash management services - end-to-end solution to your payment and collection requirements through our cash management services at extremely attractive rates - consistently voted â€œbest bank in cash management servicesâ€ - cash management services are offered at over 2400 locations b. ecms - tailor made product offering for electronic collections - ease of reconciliation for your business - stp credit with real time notification - credit confirmation to the remitter - integrated mis offering â€“ secure data transmission c. payzapp for business - revolutionary invoicing solution by m&n  bank which enables start-ups to request and receive payments on the go. - ideal for all start-ups who need to collect payment on delivery / advance payment / balance payment/ on-field collection. - instant flow of cash in to your account d. chillr - this is a revolutionary application which lets merchants request money from other chillr users using the collect feature. a qr code/alpha code is generated which the sender has to scan to complete the payment. - merchant can also view his transaction history,accounts
what are the key features of current account,"current account varaint smartup alpha smartup max current account feature minimum balance requirement zero balance for 1 year, subject to any 2 debit transactions in the first 6 months from account opening year 2 onwards rs. 25,000 average quarterly balance 5,00,000 average quarterly balance enjoy privileges of preferred banking* free cheque leaves 100 per month 500 per month rtgs & neft free free local & anywhere cheque collections/payments and fund transfer free free free cash deposit limit per month across all branches upto 12 times the average monthly balance per month or 25 transactions whichever is lower,(subject to maximum rs 100 lacs/month) upto 12 times the current month average monthly balance or 60 lakhs or 60 transactions which breached first (subject to maximum rs 200 lacs/month) additional privileges debit card platinum debit card with no annual fee 1 cash back for every rs 100 spent * times debit card with no annual fee earn 2 times points for every rs. 150 spent * exclusive discount of 10% or more on online lifestyle, entertainment, dining and grocery * corporate credit card (fd backed card with credit limit of 75%) business moneyback (fd amount rs. 45000) business regalia first (fd rs.2,00,000) business regalia- (fd rs. 4,00,000) business moneyback (fd amount rs. 45000) business regalia first (fd rs.2,00,000) business regalia- (fd rs. 4,00,000)",accounts
what are the key features of payment gateway of m&n  bank,"- acceptance of online payments through cards/ netbanking and imps - value added services such as emi (easy monthly instalment), standing instructions (for recurring payment), ivr (interactive voice response system), intelligent online reporting of success/failed transactions, dynamic routing across gateways to ensure best success rate, tokenisation etc - all the above on a plug & play model with simple documentation and t+1 settlement thereby enabling faster business go-live and better funds management - one of industryâ€™s best risk monitoring capability - dedicated in-house service team for all time support",accounts
what are benefits of payzapp for business,payzapp for business is arevolutionary invoicing solution by m&n  bank which enables start-ups to request and receive payments on the go. ideal for all start-ups who need to collect payment on delivery / advance payment / balance payment / on-field collection. benefits to start-ups â€“ - instant flow of money to start-ups account - convenient and secure money transfer - no hassles of cash management,accounts
who all can open smartup current account,"smartup solutions is targeted primarily for the newly incorporated start-up companies working towards innovation, development, deployment or commercialization of new products, processes or services driven by technology or intellectual property. - proprietorship, partnerships, llp, private limited companies and limited companies can open this account. - date of incorporation / registration of business should not be more than five years from date of account opening",accounts
what is smartup solutions,"a smart solution for your startup. smartup is here to assist you in achieving your startup goals with smart financial tools, smart advisory services and technology.",accounts
what are payment solutions available,"i. digital payments a. payment gateway - complete internet-based payment processing and management solutions for all cards issued in india and abroad - an integrated, flexible, rule-based, proactive risk management system that supports evaluation of transaction activity - highly reliable uptime and best transaction success rate - scalable to process millions of transactions per month on a real time basis - in-house dedicated helpdesk to resolve queries b. pos - avoid hassles of cash &cheque collection & management - pos, mpos, gprs variants available - low on-boardingtime ii. bulk payments i. e-banking solutions (e-net)-online platform for bulk remittances within and outside the bank ii. salary/vendor payments â€“an integrated platform to make bulk payments to your employees/vendors iii. tax payments designated bank to collect direct & indirect taxes",accounts
i have an existing bank account with other bank. can i still open smartup current account,"yes, provided startup is meeting the criteria of date of incorporation / registration of business should not be more than five years from date of account opening.",accounts
i am not a technology start-up. can i still open smartup current account,yes you can. this product caters to all start-ups with an innovative business idea.,accounts
do i get access to all the services offered under smartup programme once i start banking with m&n  bank,access to some of the services will depend on the size of the banking relationship,accounts
do i need to pay any penalty on premature closure of fixed deposits,"as per the terms & conditions of fixed deposit accounts of the bank, the penalty on premature closure of fixed deposits, including sweep-in and partial closures, has been fixed by the bank at the rate of 1% of the fixed deposit interest rate. this is applicable with effect from 24th january, 2011.",accounts
where can i get fixed deposit advice from,"you can now download fixed deposit advice through netbanking in pdf format. with effect from july 13th, 2009 weâ€™ve started sending fixed deposit advice over e-mail for fixed deposits booked through netbanking. physical advice has been discontinued for fixed deposits booked through netbanking. an electronic mail advice is sent to you on your registered e-mail id within 2-3 working days from the date of booking. you will need to enter the primary customer identification number as a password to open the attachment. if you are registered for e-mail statements, fixed deposit advice will be sent to your e-mail id registered with the bank. this is applicable for all fixed deposit booked / renewed through any mode whether branch, phonebanking or netbanking. physical advice is discontinued. in case you do not receive the advice on your e-mail, we request you to check your spam / junk folder. please note: at any point, if you wish to check your fixed deposit holdings, they can be viewed on the fixed deposit summary page on netbanking. in case your e-mail id is not updated with the bank, you are requested to contact the nearest branch and update your e-mail id. in case you wish to have a physical advice, you may walk into the nearest m&n  bank branch. a copy of the e-mail advice may be submitted to the branch in case of premature liquidation of the deposit. the e-mail advice copy is as acceptable at our branches as the physical advice. view more",accounts
why is the principal amount and the fixed deposit maturity amount of my fixed deposit the same,"when your fixed deposit is booked with the quarterly / monthly interest pay out option, the maturity amount is the same as the principal amount. the interest amount will be credited to your account at quarterly / monthly intervals.",accounts
does m&n  bank offer preferential rate of interest on fixed deposits for senior citizens,"we offer preferential rate of interest on fixed deposits for senior citizens. if you are a senior citizen, all you need to do is register as one by calling any branch with proof of your date of birth. once registered as a senior citizen, you are eligible for preferential rates of interest on fixed deposits opened through netbanking as well. click here to interest rates on fixed deposits. the fixed deposit will be booked in the same combination/ order of names as the existing current/savings account, from which the funds are being transferred. view more",accounts
where can i register for m&n  bankâ€™s netbanking facility,"in case you are not registered for the netbanking facility, we request you to visit the following url. click here for how to register:",accounts
how can i book a fixed deposit through netbanking,"you can book fixed deposits through netbanking provided: you have registered for the facility with necessary online financial transaction rights your pan number is updated under your customer identification number in bank's records the following are the steps required to book your fixed deposit online: access your netbanking account with your customer id and ipin (netbanking password) select open new fixed deposit option under the fixed deposit menu from the menu bar located on the left hand side of the web page select the desired values from the drop-down lists once complete, click on continue and confirm the details entered a new web page, confirming the fixed deposit booking, will be displayed. physical advice will not be sent for fixed deposits booked through net banking. an electronic mail advice will be sent to you on your registered e-mail id within 2 working days. the password for your fixed deposit advice will be your customer id. at any point, if you wish to check your fixed deposit holdings, the same may be viewed on the fixed deposit summary page on net banking. in case you want physical advice, you may walk into your nearest m&n  bank branch. view more",accounts
